customer_id,balance_account,purchases_amount,paid_advance,full_purchases,balance_frequency_update,installments,purchases_frequency,full_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,nr_cash_advances,nr_purchases,credit_limit,fixed_rate_period,payments,min_payments,full_payment_prc,y_KM_tsne
tGEg8fT2eCgVxdwS,2.3319894172850684,4.687671407499835,0.0,0.0,0.6466272125440989,4.687671407499835,0.6466272125440989,0.0,0.5978371007556155,0.0,0.0,2.3978952727983707,6.90875477931522,2.4849066497880004,4.509417291199949,4.507686036823862,0.3566746439386874,2
stEDu20sSKOXomjg,3.98278751729975,5.01926462079431,0.0,0.0,0.6931471805599453,5.01926462079431,0.6931471805599453,0.0,0.6061356217521172,0.0,0.0,1.9459101490553132,6.90875477931522,1.9459101490553132,4.020384266343188,4.430283085014851,0.0,2
CEB2blrN3b88GsRe,7.216559456365895,0.0,6.139585893408012,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.24116184253115078,1.9459101490553132,0.0,7.313886831633462,2.4849066497880004,5.7171328899526594,6.097582736658437,0.0,5
0N0eBl8ySaZThxKE,7.6121594417999106,5.897648250903697,0.0,5.897648250903697,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,2.6390573296152584,7.601402334583733,2.5649493574615367,6.558539262238859,6.680678763694473,0.0,1
6NLauoHUwtwOv4Wy,3.149413157330078,4.564348191467836,7.0587975610284674,4.564348191467836,0.31015466163713734,0.0,0.08004239998118148,0.08004239998118148,0.0,0.15415096554150312,1.3862943611198906,0.6931471805599453,7.824445930877619,2.5649493574615367,8.31758583478669,3.717035865698232,0.0,0
3Zx75mmL4wXFf36M,9.134223672603204,4.61512051684126,8.38578440572403,0.0,0.6931471805599453,4.61512051684126,0.2876818224517498,0.0,0.22314355131420976,0.15415096554150312,1.3862943611198906,1.6094379124341003,9.770013301136158,2.5649493574615367,7.801850931102699,7.86496008792082,0.0,4
VIncqsQDzbMSsvL9,4.588932332728251,4.110873864173311,0.0,4.110873864173311,0.6931471805599453,0.0,0.08004239998118148,0.08004239998118148,0.0,0.0,0.0,0.6931471805599453,9.433563920090563,2.5649493574615367,6.119026242117148,5.327293523356536,0.0,1
fDoLh1FTtFMuu3xs,8.47413605144343,0.0,6.084063295210556,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.15415096554150312,1.0986122886681098,0.0,8.517393171418904,2.5649493574615367,6.715190297391181,7.568287187667521,0.0,5
OpclyuJ9WGTLImw1,5.768438938838218,7.141466792158388,0.0,7.141466792158388,0.5978371007556155,0.0,0.22314355131420976,0.22314355131420976,0.0,0.0,0.0,1.9459101490553132,9.259225769705994,2.5649493574615367,7.209001134758484,5.392766330157586,0.11778303565638346,1
k2GbzBNCo0TQmwaw,7.403823273437705,0.0,8.003418402467892,0.0,0.5465438642627942,0.0,0.0,0.0,0.0,0.15415096554150312,1.6094379124341003,0.0,8.006700845440367,2.5649493574615367,8.389524221164452,6.217157156810596,0.13353126762451462,5
